Indiv_id	Groundtrth	Size_id	Community_	Grass_heig	Andropog_c	Tree_densi	Geol_id	Xval	Yval	Fire5698	Altitude	Slope	Aspect	Rsp	Trmi	Twi
3	1	2	BG	tall grass	andropogonoid		2	72134.770499	-3126460.708038	7	240	4	89	15	41	0.23
4	2	1	BG	patchy	andropogonoid		2	72160.334947	-3126498.914734	7	234	7	90	15	41	0.19
5	3	1	patchy	short grass	unclear		2	72172.193814	-3126540.011125	7	234	7	89	15	40	0.19
6	4	1	BG	patchy	andropogonoid		0	72185.635517	-3126580.522456	7	235	7	88	15	40	0.18
7	5	2	BG	short grass	andropogonoid		0	72202.203199	-3126626.403962	7	228	8	85	15	42	-0.03
8	6	2	BG	short grass	andropogonoid		0	72217.227604	-3126666.330376	7	228	8	85	15	42	-0.03
9	7	1	patchy	short grass	unclear		0	72247.438793	-3126719.429501	7	221	7	73	15	31	1.06
10	8	1	LG	short grass	unclear		0	72271.924121	-3126761.791895	7	224	7	71	5	23	-1.9
11	9	1	patchy	short grass	unclear		0	72295.933512	-3126795.827592	7	226	6	80	15	31	0.37
12	10	1	patchy	patchy	unclear		0	72295.1719	-3126834.469092	7	226	6	91	15	33	-0.15
13	11	1	patchy	tall grass	unclear		0	72312.784387	-3126881.546208	7	220	6	92	15	33	-0.21
14	12	1	BG	tall grass	panicoid		0	72311.474581	-3126923.751663	7	220	6	92	15	33	-0.21
15	13	2	BG	tall grass	panicoid		0	72301.208441	-3126967.091757	7	220	5	102	15	35	-0.91
16	14	2	BG	tall grass	andropogonoid	2	0	72285.209694	-3127000.884046	7	221	5	141	15	41	0.11
17	15	2	BG	tall grass	andropogonoid	3	0	72270.260245	-3127035.277216	7	217	6	153	15	40	-1.14
18	16	2	BG	tall grass	andropogonoid	2	0	72253.183533	-3127073.224971	7	217	6	153	15	40	-1.14
19	17	2	BG	tall grass	andropogonoid	2	0	72245.01252	-3127118.361395	9	213	7	167	15	41	-1.14
20	18	2	BG	tall grass	panicoid	2	0	72247.391425	-3127159.994832	8	205	7	159	5	30	-1.91
21	19	2	BG	tall grass	andropogonoid	3	0	72253.505808	-3127193.327142	7	199	7	164	5	31	-1.85
22	20	2	BG	tall grass	andropogonoid	2	0	72263.297752	-3127227.870897	7	192	7	171	15	43	-1.06
23	21	2	BG	tall grass	andropogonoid	2	0	72253.05734	-3127267.04932	7	192	7	171	15	43	-1.06
24	22	2	BG	tall grass	andropogonoid	2	0	72263.880312	-3127305.166645	7	187	5	175	15	44	-0.07
25	23	2	BG	tall grass	panicoid	3	2	72262.065991	-3127343.801762	7	183	3	176	10	39	-1.03
26	24	1	BG	tall grass	panicoid	3	2	72253.97466	-3127375.858576	7	180	1	165	10	38	-0.49
27	25	1	patchy	patchy	unclear	3	2	72263.203867	-3127416.344552	7	180	1	165	10	38	-0.49
28	26	1	patchy	patchy	unclear	2	2	72245.092973	-3127451.313101	7	179	1	68	20	37	8.86
29	27	1	BG	tall grass	panicoid	4	2	72273.308513	-3127485.969001	7	179	1	17	15	26	3.65
30	28	2	BG	patchy	panicoid	0	2	72266.327912	-3127508.519648	6	179	1	17	15	26	3.65
31	29	2	BG	tall grass	unclear	2	2	72271.363904	-3127546.007302	6	181	4	17	15	25	2.01
32	30	1	patchy	patchy	unclear	2	2	72283.206755	-3127589.482034	6	186	6	22	15	25	1.01
33	31	1	LG	patchy	unclear	0	2	72309.435757	-3127604.505617	6	185	4	11	15	27	0.44
34	32	1	BG	patchy	chlorodoid	2	2	72343.430133	-3127640.980549	6	189	5	27	15	27	-0.19
35	33	2	BG	patchy	unclear	2	2	72347.939431	-3127678.465041	6	190	4	48	15	29	-0.69
36	34	2	BG	patchy	panicoid	2	2	72356.634414	-3127720.136925	6	190	4	48	15	29	-0.69
37	35	2	BG	patchy	panicoid	2	2	72355.977627	-3127741.537012	6	192	3	65	5	21	-1.3
38	36	2	BG	tall grass	unclear	2	2	72364.650794	-3127786.776068	6	193	3	79	15	35	1.16
39	37	2	BG	tall grass	panicoid	3	2	72380.671454	-3127835.627335	6	193	3	83	15	38	1.58
40	38	1	patchy	patchy	unclear	3	2	72383.634021	-3127867.751484	6	193	3	83	15	38	1.58
41	39	1	LG	short grass	unclear	4	2	72382.890201	-3127903.42033	6	194	3	80	15	39	1.37
42	40	2	LG	short grass	unclear	2	2	72380.00102	-3127945.616209	6	194	4	76	15	37	2.18
43	41	1	patchy	short grass	unclear	3	2	72392.441891	-3127977.203465	6	195	4	81	15	36	-0.65
44	42	1	BG	patchy	panicoid	0	2	72401.434455	-3128056.334372	6	191	5	93	15	37	1.31
45	43	2	BG	tall grass	unclear	0	2	72431.230778	-3128090.405783	6	191	5	95	15	39	1.1
46	44	1	patchy	patchy	unclear	2	2	72444.186835	-3128123.780009	6	191	5	95	15	39	1.1
47	45	2	BG	tall grass	panicoid	2	0	72471.343784	-3128159.024596	6	186	4	88	15	33	0.65
48	46	2	BG	short grass	panicoid	4	0	72454.224379	-3128204.106424	6	186	3	72	15	39	2.8
49	47	2	BG	short grass	panicoid	4	0	72450.859402	-3128237.975639	6	188	3	51	15	39	1.36
50	48	2	BG	patchy	panicoid	2	0	72455.879929	-3128277.841573	6	190	2	34	15	38	8.02
51	49	2	BG	patchy	panicoid	2	0	72534.793907	-3128284.863567	6	189	2	359	20	40	3.31
52	50	2	BG	patchy	panicoid	4	0	72548.17772	-3128334.293492	6	192	2	320	20	44	7.14
53	51	2	BG	short grass	panicoid	4	0	72554.399539	-3128349.789997	6	192	2	320	20	44	7.14
55	52	2	BG	short grass	panicoid	3	0	72702.6209	-3128385.181129	6	199	1	243	15	38	0.96
56	53	2	BG	patchy	panicoid	2	0	72739.850043	-3128408.5969	6	199	1	243	15	38	0.96
57	54	2	BG	tall grass	panicoid	3	0	72764.204444	-3128385.558406	6	200	2	224	15	42	0.69
58	55	2	BG	tall grass	panicoid	4	0	72806.84285	-3128385.225186	6	202	2	215	15	41	0.4
59	56	2	BG	tall grass	panicoid	4	0	72828.244702	-3128414.489808	6	202	2	215	15	41	0.4
60	57	2	BG	patchy	panicoid	0	0	72851.751856	-3128443.767284	6	200	3	217	15	39	1.78
61	58	2	BG	tall grass	andropogonoid	3	0	72875.277146	-3128470.072209	6	200	3	217	15	39	1.78
62	59	2	BG	tall grass	andropogonoid	2	0	72885.709269	-3128485.594757	6	199	1	229	15	39	3.52
63	60	2	BG	tall grass	unclear	2	0	72900.249948	-3128517.790214	7	201	4	250	15	36	1.65
64	61	2	BG	tall grass	andropogonoid	2	0	72912.608462	-3128562.457841	7	200	3	264	15	34	1.52
