Galaxy,MVT,NGC
MilkyWay,-21.300,160
WLM,-14.840,1
NGC7814,-20.180,150
NGC55,-18.770,36
NGC147,-15.460,10
NGC185,-15.400,8
NGC205,-16.660,11
NGC221,-16.540,0
NGC224,-21.800,450
NGC247,-18.800,60
NGC253,-21.010,90
SMC,-16.820,1
NGC300,-18.400,70
UGC-685,-14.350,5
NGC406,-19.140,85
NGC474,-20.970,609
NGC524,-21.850,3300
NGC541,-22.390,1620
NGC584,-21.180,500
NGC598,-19.000,50
NGC628,-19.930,50
LMC,-18.590,16
NGC1052,-20.760,250
NGC1132,-21.900,1700
NGC1172,-19.620,130
NGC1316,-22.790,1200
NGC1374,-20.220,220
NGC1379,-20.110,130
NGC1380,-21.070,510
NGC1387,-20.580,325
NGC1399,-21.680,5700
NGC1404,-21.080,725
NGC1407,-22.210,2500
NGC1419,-19.340,100
NGC1427,-20.560,270
NGC1426,-20.010,150
NGC1439,-20.480,95
NGC1549,-21.280,440
NGC1553,-21.690,655
NGC2403,-19.430,40
NGC2683,-20.290,95
NGC2768,-21.650,900
NGC2787,-19.090,55
NGC2841,-21.610,400
NGC2974,-21.140,325
NGC3031,-21.040,200
NGC3115,-21.180,600
NGC3377,-19.990,100
NGC3379,-20.970,260
NGC3384,-20.510,130
NGC3585,-21.260,530
NGC3607,-21.190,690
NGC3608,-20.530,375
NGC3610,-20.590,250
NGC3613,-21.110,500
NGC3619,-20.450,280
NGC3627,-21.330,80
NGC3818,-20.040,280
NGC4013,-19.950,70
NGC4111,-19.990,95
NGC4143,-20.050,150
NGC4150,-18.460,30
NGC4168,-21.020,1000
NGC4258,-20.610,130
NGC4261,-22.060,1650
NGC4278,-20.740,1050
NGC4291,-20.890,250
NGC4339,-19.970,155
NGC4342,-19.060,200
NGC4365,-22.050,6500
NGC4374,-22.110,3700
NGC4387,-19.470,115
NGC4406,-22.390,6000
NGC4417,-19.900,170
NGC4431,-17.910,30
NGC4434,-19.340,85
NGC4442,-20.440,190
NGC4458,-19.240,75
NGC4464,-18.870,35
NGC4467,-17.670,15
NGC4472,-22.760,7600
NGC4473,-20.830,480
NGC4474,-19.540,70
NGC4476,-18.890,40
NGC4478,-19.780,215
NGC4482,-18.250,30
NGC4486,-22.420,12000
NGC4494,-21.130,1150
NGC4503,-20.200,400
NGC4521,-20.500,110
NGC4526,-21.630,1150
NGC4528,-19.540,80
NGC4546,-20.840,375
NGC4550,-19.730,120
NGC4551,-19.530,90
NGC4552,-21.100,1100
NGC4564,-20.000,210
NGC4570,-20.400,270
NGC4578,-19.840,95
NGC4596,-20.680,230
NGC4621,-21.480,2000
NGC4623,-19.350,85
NGC4636,-21.530,3500
NGC4643,-20.900,160
NGC4649,-22.360,6000
NGC4660,-20.100,250
NGC4697,-21.290,1200
NGC4742,-19.710,120
NGC4762,-21.000,400
NGC4874,-23.160,30000
NGC4889,-23.520,18000
NGC4946,-19.830,75
NGC5018,-21.680,900
NGC5044,-21.700,2500
NGC5077,-21.700,750
NGC5128,-21.350,1500
NGC5173,-20.050,270
NGC5198,-21.030,450
NGC5322,-22.040,1300
NGC5353,-21.270,640
NGC5354,-20.740,540
NGC5485,-20.910,530
NGC5493,-21.270,600
NGC5532,-22.900,4000
NGC5557,-21.650,1100
NGC5576,-21.000,500
NGC5638,-20.790,410
NGC5813,-22.060,2500
NGC5831,-20.880,375
NGC5845,-19.910,100
NGC5846,-22.180,4900
NGC5866,-20.990,180
NGC5982,-21.740,675
NGC6340,-20.450,175
NGC7052,-22.380,2000
NGC7172,-21.360,380
NGC7192,-21.210,400
NGC7196,-20.800,360
NGC7213,-21.520,650
NGC7332,-20.590,260
NGC7457,-19.540,100
NGC7619,-22.400,3000
NGC7626,-22.330,1800
NGC7742,-19.890,90
